track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,cluster
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553.0,147,0.0430112772865876,43.0,263.0,45.0,10.0,826.0,0.42553191489361697,B,Major,0.7808219178082192,0.913978494623656,0.8313253012048193,0.31958762886597936,0.0,0.05319148936170213,0.024727992087042572,Not Found,0
LALA,Myke Towers,1,2023,3,23,1474.0,48,0.03999922334305907,48.0,126.0,58.0,14.0,382.0,0.1914893617021276,C#,Major,0.6575342465753424,0.6129032258064517,0.7228915662650603,0.07216494845360824,0.0,0.07446808510638298,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,0
vampire,Olivia Rodrigo,1,2023,6,30,1397.0,113,0.042469911556900136,94.0,207.0,91.0,14.0,949.0,0.5177304964539007,F,Major,0.38356164383561636,0.3010752688172043,0.4698795180722892,0.17525773195876287,0.0,0.2978723404255319,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,1
Cruel Summer,Taylor Swift,1,2019,8,23,7858.0,100,0.30213957062268726,116.0,207.0,125.0,12.0,548.0,0.7446808510638298,A,Major,0.43835616438356156,0.5806451612903226,0.6987951807228916,0.1134020618556701,0.0,0.08510638297872342,0.2967359050445108,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,1
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133.0,50,0.10661053658810457,84.0,133.0,87.0,15.0,425.0,0.5602836879432623,A,Minor,0.5753424657534247,0.20430107526881724,0.7951807228915663,0.14432989690721648,1.0,0.08510638297872342,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1,1
Sprinter,"Dave, Central Cee",2,2023,6,1,2186.0,91,0.05964230603643188,67.0,213.0,88.0,17.0,946.0,0.5390070921985816,C#,Major,0.9452054794520548,0.6666666666666667,0.5301204819277109,0.1958762886597938,0.0,0.05319148936170213,0.5192878338278939,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,3
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090.0,50,0.27272375649143055,34.0,222.0,43.0,13.0,418.0,0.5886524822695035,F,Minor,0.6027397260273972,0.849462365591398,0.746987951807229,0.4948453608247423,0.0,0.05319148936170213,0.0,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,0
Columbia,Quevedo,1,2023,7,7,714.0,43,0.01030591334548725,25.0,89.0,30.0,13.0,194.0,0.24822695035460995,F,Major,0.6027397260273972,0.23655913978494625,0.6867469879518073,0.38144329896907214,0.0,0.08510638297872342,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,1
fukumean,Gunna,1,2023,5,15,1096.0,83,0.02487141262873783,60.0,210.0,48.0,11.0,953.0,0.46099290780141844,C#,Minor,0.8493150684931507,0.1935483870967742,0.5783132530120483,0.12371134020618557,0.0,0.26595744680851063,0.14836795252225543,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c,1
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953.0,44,0.20500198943116574,49.0,110.0,66.0,13.0,339.0,0.7446808510638298,D,Minor,0.7945205479452055,0.5591397849462366,0.40963855421686757,0.21649484536082475,0.0,0.05319148936170213,0.741839762611277,Not Found,3
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876.0,40,0.18615552278473993,41.0,205.0,54.0,12.0,251.0,0.12765957446808507,F#,Minor,0.4657534246575343,0.5591397849462366,0.6987951807228916,0.23711340206185566,0.0,0.2553191489361702,0.049455984174085144,Not Found,1
Super Shy,NewJeans,1,2023,7,7,422.0,55,0.010347475463988422,37.0,202.0,21.0,5.0,168.0,0.6028368794326241,F,Minor,0.7534246575342465,0.5161290322580646,0.819277108433735,0.18556701030927836,0.0,0.12765957446808512,0.09891196834817027,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,0
Daylight,David Kushner,1,2023,4,14,3528.0,98,0.13974895845558952,80.0,156.0,182.0,24.0,0.0,0.46099290780141844,D,Minor,0.38356164383561636,0.3010752688172043,0.3493975903614458,0.8556701030927835,0.0,0.06382978723404256,0.0,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae,2
As It Was,Harry Styles,1,2022,3,31,23575.0,130,0.974990580579184,403.0,198.0,863.0,46.0,0.0,0.7730496453900709,F#,Minor,0.3972602739726027,0.6666666666666667,0.710843373493976,0.35051546391752575,0.0,0.2978723404255319,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,0
Kill Bill,SZA,1,2022,12,8,8109.0,77,0.4444834360954,183.0,162.0,161.0,12.0,187.0,0.17021276595744683,G#,Major,0.5616438356164384,0.41935483870967744,0.710843373493976,0.05154639175257732,0.3486464315012322,0.13829787234042554,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,1
